town,total_enrollment,frl_eligible,num_schools,frl_pct
Albany,99.0,57.0,1,57.6
Alburg,194.0,131.0,1,67.5
Arlington,489.0,166.0,3,33.9
Ascutney,262.0,75.0,1,28.6
Bakersfield,144.0,52.0,1,36.1
Barnard,72.0,7.0,1,9.7
Barnet,135.0,53.0,1,39.3
Barre,2199.0,580.0,3,26.4
Barton,162.0,93.0,1,57.4
Bellows Falls,754.0,397.0,3,52.7
Bennington,2354.0,1181.0,7,50.2
Benson,75.0,8.0,1,10.7
Berlin,194.0,69.0,1,35.6
Bethel,269.0,133.0,2,49.4
Bolton,82.0,17.0,1,20.7
Bradford,589.0,202.0,3,34.3
Braintree,81.0,36.0,1,44.4
Brandon,966.0,398.0,2,41.2
Brattleboro,1854.0,785.0,6,42.3
Bridport,63.0,18.0,1,28.6
Bristol,1032.0,211.0,2,20.4
Brookfield,71.0,15.0,1,21.1
Brownington,107.0,65.0,1,60.7
Brownsville,63.0,7.0,1,11.1
Burlington,3473.0,1677.0,10,48.3
Cabot,164.0,69.0,1,42.1
Cambridge,120.0,17.0,1,14.2
Canaan,169.0,53.0,1,31.4
Castleton,251.0,84.0,1,33.5
Charlotte,707.0,28.0,1,4.0
Chelsea,94.0,35.0,1,37.2
Chester,596.0,273.0,2,45.8
Chittenden,186.0,32.0,1,17.2
Colchester,2414.0,566.0,5,23.4
Concord,156.0,78.0,1,50.0
Cornwall,93.0,12.0,1,12.9
Coventry,122.0,75.0,1,61.5
Craftsbury Common,207.0,27.0,1,13.0
Cuttingsville,74.0,26.0,1,35.1
Danby,76.0,37.0,1,48.7
Danville,350.0,82.0,1,23.4
Derby,263.0,165.0,1,62.7
Derby Line,496.0,232.0,1,46.8
Dorset,168.0,45.0,1,26.8
Duxbury,288.0,41.0,1,14.2
East Barre,77.0,27.0,1,35.1
East Corinth,263.0,100.0,1,38.0
East Dover,90.0,21.0,1,23.3
East Dummerston,162.0,24.0,1,14.8
East Montpelier,231.0,31.0,1,13.4
Eden,127.0,64.0,1,50.4
Enosburg Falls,612.0,294.0,3,48.0
Essex Junction,3541.0,580.0,9,16.4
Fair Haven,800.0,244.0,2,30.5
Fairfax,1039.0,155.0,2,14.9
Fairfield,252.0,45.0,1,17.9
Fairlee,116.0,30.0,1,25.9
Fayston,99.0,10.0,1,10.1
Ferrisburgh,244.0,38.0,1,15.6
